,name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
77,마농애월점,한식,제주특별자치도 제주시 애월읍 애월해안로 881 1층,애월읍,2,5.0,33.4782235,126.3665625
78,애월국수,한식,제주특별자치도 제주시 애월읍 애월로 106-1 1층 제1호,애월읍,18,4.472222222,33.4644349,126.318555
79,바삭애월해안도로점,기타,제주특별자치도 제주시 애월읍 애월해안로 724 1층,애월읍,121,4.334710744,33.4840035,126.3782131
80,탐라해동밥상,한식,제주특별자치도 제주시 애월읍 광상로 323-16 1층,애월읍,24,4.708333333,33.4425732,126.3989656
81,제주갈매기,한식,제주특별자치도 제주시 애월읍 하광로 17 1층,애월읍,10,4.75,33.4621944,126.4227085
82,잇수다,경양식,제주특별자치도 제주시 애월읍 고내로7길 46-1 1층,애월읍,10,5.0,33.466902,126.3376403
83,홀가분가든,한식,제주특별자치도 제주시 애월읍 광령중길 133-2 1층,애월읍,8,4.5625,33.4538948,126.4351433
84,산들촌,한식,제주특별자치도 제주시 애월읍 평화로 2751 1층,애월읍,2,4.25,33.4222395,126.4092532
85,화돗,기타,제주특별자치도 제주시 애월읍 하광로 15 1층,애월읍,9,4.444444444,33.4621944,126.4227085
86,칠사돈,한식,제주특별자치도 제주시 애월읍 애월해안로 906 1층,애월읍,10,5.0,33.4847302,126.3921125
87,임순이네,한식,제주특별자치도 제주시 애월읍 곽지1길 26-7 1층 제3호,애월읍,10,4.75,33.4488627,126.3042586
88,신제주촌오리,한식,제주특별자치도 제주시 애월읍 가문동길 27-6,애월읍,10,4.8,33.4848359,126.3930326
89,가호,한식,제주특별자치도 제주시 애월읍 가문동상2길 35 가동 1층,애월읍,8,4.8125,33.4853633,126.3906957
90,모립,기타,제주특별자치도 제주시 애월읍 애월로1길 26-7 1층,애월읍,10,4.4,33.4629939,126.3097778
91,디오라제,기타,제주특별자치도 제주시 애월읍 애월해안로 554-8 오렌지힐 1층,애월읍,8,4.3125,33.4775969,126.3629091
92,애월플라워하물,기타,제주특별자치도 제주시 애월읍 애월해안로 58 1~2층,애월읍,6,4.583333333,33.4782235,126.3665625
93,애월프렌즈,경양식,제주특별자치도 제주시 애월읍 신엄안2길 34 1층,애월읍,6,4.083333333,33.4755071,126.3685627
94,로뎀애가든,한식,제주특별자치도 제주시 애월읍 애월항로 17 2층,애월읍,10,4.95,33.4638695,126.3265501
95,에이엠11,한식,제주특별자치도 제주시 애월읍 애월해안로 720 1~2층,애월읍,10,3.95,33.4839595,126.377939
96,제주반딧불한담애월점,한식,제주특별자치도 제주시 애월읍 애월로1길 24-11 1층,애월읍,10,4.65,33.4624642,126.3102678
97,만지식당,한식,제주특별자치도 제주시 애월읍 고내로 13-1 1층,애월읍,10,3.55,33.4632506,126.3389717
98,죽성오리,한식,제주특별자치도 제주시 애월읍 하귀11길 3-11,애월읍,3,4.666666667,33.4830763,126.4136997
99,문개항아리애월점,한식,제주특별자치도 제주시 애월읍 가문동길 38,애월읍,10,4.85,33.4857824,126.3925353
100,유수암별장미락,한식,제주특별자치도 제주시 애월읍 유수암평화길 170 1층,애월읍,2,4.0,33.4288308,126.4087735
101,몬스터살롱,패스트푸드,제주특별자치도 제주시 애월읍 일주서로 6017 1층,애월읍,10,4.3,33.4482531,126.3072817
102,연화키친,한식,제주특별자치도 제주시 애월읍 상가로 51 1층,애월읍,9,4.5,33.4490813,126.3462983
103,심바카레,한식,제주특별자치도 제주시 애월읍 금성5길 44-16 1층,애월읍,194,4.595360825,33.4482312,126.302319
104,중엄집밥처럼,한식,제주특별자치도 제주시 애월읍 일주서로 6755 나동 1층,애월읍,12,4.25,33.4737148,126.3735697
105,꿈낭,한식,제주특별자치도 제주시 애월읍 유수암평화5길 32 A동 1층,애월읍,9,4.277777778,33.424382,126.4051687
106,베트남쌀국수,"외국음식전문점(인도,태국등)",제주특별자치도 제주시 애월읍 광령중길 133-2 1층,애월읍,23,4.717391304,33.4538948,126.4351433
107,한수위,한식,제주특별자치도 제주시 애월읍 하광로 540-66 1층,애월읍,52,4.673076923,33.4411527,126.4288763
108,씨사이드애월하귀점,기타,제주특별자치도 제주시 애월읍 하귀14길 5-3 1층,애월읍,88,4.784090909,33.4850161,126.4077531
109,볼륨1603,기타,제주특별자치도 제주시 애월읍 일주서로 7087-14 1층,애월읍,25,4.72,33.4842288,126.4064775
110,장전고을,한식,제주특별자치도 제주시 애월읍 중산간서로 6010 1층,애월읍,5,4.1,33.4470046,126.3747347
111,소랑국수,한식,제주특별자치도 제주시 애월읍 애월로1길 24-5 1층,애월읍,70,3.414285714,33.4624642,126.3102678
112,곽지곤지암해장국,한식,제주특별자치도 제주시 애월읍 곽지1길 4 1층,애월읍,37,4.256756757,33.4466795,126.3052733
113,로맨틱새우,기타,제주특별자치도 제주시 애월읍 곽지1길 12-12 1층 103호 (곽지어촌계펜션),애월읍,1176,4.81122449,33.4480612,126.3055099
114,코코리파이프,기타,제주특별자치도 제주시 애월읍 하귀6길 22 1층,애월읍,145,4.617241379,33.4887078,126.4145642
115,어촌계회센타,한식,제주특별자치도 제주시 애월읍 애월포구동길 3,애월읍,12,4.458333333,33.4658162,126.3218897
116,바다속고등어쌈밥,기타,제주특별자치도 제주시 애월읍 일주서로 7089,애월읍,478,4.518828452,33.4842697,126.4068534
117,곤밥보리밥,한식,제주특별자치도 제주시 애월읍 애원로 70-2 1층,애월읍,26,4.5,33.4431304,126.3385993
118,곽지해녀의집,한식,제주특별자치도 제주시 애월읍 곽지11길 27,애월읍,111,3.990990991,33.4538292,126.3066334
119,청아돈,한식,제주특별자치도 제주시 애월읍 애월로11길 14,애월읍,12,4.291666667,33.4636964,126.3180099
120,초원도야지,기타,제주특별자치도 제주시 애월읍 하소로 14 1층,애월읍,12,4.25,33.4787068,126.3994104
121,떡빙,한식,제주특별자치도 제주시 애월읍 하귀동남3길 15-15 1층,애월읍,1,4.0,33.4849584,126.4155823
122,제주김만복애월점,기타,제주특별자치도 제주시 애월읍 애월해안로 255 2층,애월읍,1001,4.058441558,33.4782235,126.3665625
123,야미부대찌게하귀점,한식,제주특별자치도 제주시 애월읍 하귀동남3길 7 1층,애월읍,16,4.40625,33.4835358,126.4131748
124,하귀청마루,한식,제주특별자치도 제주시 애월읍 항몽로 71-1,애월읍,35,4.385714286,33.4775698,126.4089878
125,잇칸시타,일식,제주특별자치도 제주시 애월읍 신엄안2길 54-1 1동 1층,애월읍,328,4.542682927,33.4770905,126.3699554
126,애월성,중국식,제주특별자치도 제주시 애월읍 애월로7길 2,애월읍,31,3.64516129,33.4647427,126.3197753
127,홍스랜드,기타,제주특별자치도 제주시 애월읍 어음13길 25-45,애월읍,27,4.777777778,33.3981204,126.352168
128,달빛제주,기타,제주특별자치도 제주시 애월읍 애월해안로 929 가동 2층,애월읍,67,4.589552239,33.4782235,126.3665625
129,송이,한식,제주특별자치도 제주시 애월읍 곽지8길 12-1,애월읍,5,4.7,33.4487082,126.3086558
130,청수냉면,한식,제주특별자치도 제주시 애월읍 하귀9길 12,애월읍,23,4.543478261,33.4871453,126.4093484
131,모리노아루요,한식,제주특별자치도 제주시 애월읍 하소로 769-58 아동 1층,애월읍,67,3.798507463,33.418384,126.4001215
132,호커센터,한식,제주특별자치도 제주시 애월읍 애월로11길 25-2,애월읍,559,4.92039356,33.4669387,126.3203654
133,해삼궁,한식,제주특별자치도 제주시 애월읍 평화로 1976 1층,애월읍,36,4.402777778,33.400203,126.3798207
134,팩토리스토리,기타,제주특별자치도 제주시 애월읍 일주서로 6083 1층,애월읍,28,3.946428571,33.4547078,126.3083167
135,성안식당,횟집,제주특별자치도 제주시 애월읍 애월로11길 5,애월읍,26,4.134615385,33.4647956,126.3201572
136,애월등대집,한식,제주특별자치도 제주시 애월읍 애월해안로 56 1층,애월읍,18,4.944444444,33.4670965,126.3203656
137,소길역,일식,제주특별자치도 제주시 애월읍 소길2길 53 1층,애월읍,110,4.772727273,33.4419011,126.370287
138,리틀줄리,기타,제주특별자치도 제주시 애월읍 곽지1길 9 1층,애월읍,8,4.625,33.4469439,126.3046315
139,광평도새기촌본점,식육(숯불구이),제주특별자치도 제주시 애월읍 구엄동3길 64 1층,애월읍,620,4.744354839,33.4792685,126.3810461
140,애월할망네,한식,제주특별자치도 제주시 애월읍 중산간서로 5632 1층,애월읍,27,4.12962963,33.4470046,126.3747347
141,고래밥,한식,제주특별자치도 제주시 애월읍 애월로 93-1 1층,애월읍,14,4.678571429,33.4649048,126.3174412
142,삼일해장국,한식,제주특별자치도 제주시 애월읍 하귀9길 14,애월읍,88,4.295454545,33.4826863,126.415916
143,블라썸1407,기타,제주특별자치도 제주시 애월읍 고하상로 103 1층,애월읍,44,4.488636364,33.4569306,126.3475934
144,애월회센터,횟집,제주특별자치도 제주시 애월읍 신엄9길 72-11 1층,애월읍,61,4.18852459,33.4773551,126.3683507
145,퐁낭집,한식,제주특별자치도 제주시 애월읍 유수암로 36 1층,애월읍,6,4.75,33.4395837,126.4026069
146,제주애월회관,식육(숯불구이),제주특별자치도 제주시 애월읍 애월로 38,애월읍,182,4.392857143,33.4655339,126.3203113
147,낮갈치밤돼지,한식,제주특별자치도 제주시 애월읍 신엄7길 9 1층,애월읍,88,4.914772727,33.472592,126.3664905
148,스시애월,일식,제주특별자치도 제주시 애월읍 애월로9길 50-3 1층,애월읍,140,4.528571429,33.4665125,126.3193173
149,명리동식당애월점,한식,제주특별자치도 제주시 애월읍 애월해안로 384-8,애월읍,119,4.222689076,33.4728044,126.3494447
150,에피소드,한식,제주특별자치도 제주시 애월읍 하귀동남1길 19 1층,애월읍,2,5.0,33.48518,126.4146088
151,시루애월,기타,제주특별자치도 제주시 애월읍 하소로 449,애월읍,129,4.213178295,33.4426654,126.3918782
152,고스트타운,뷔페식,제주특별자치도 제주시 애월읍 부룡수길 35-14,애월읍,145,3.862068966,33.4760526,126.3568775
153,디딤팡,한식,제주특별자치도 제주시 애월읍 장전로 63 다동 1층,애월읍,1,5.0,33.4619478,126.3295244
154,애월바당국수,한식,제주특별자치도 제주시 애월읍 애월해안로 34 1층,애월읍,66,4.272727273,33.4782235,126.3665625
155,그마니네,한식,제주특별자치도 제주시 애월읍 일주서로 7219,애월읍,112,4.607142857,33.4893844,126.4193291
156,대호해물가든,한식,제주특별자치도 제주시 애월읍 항몽로 134 1~2층,애월읍,19,3.631578947,33.4725115,126.4090103
157,고집78,기타,제주특별자치도 제주시 애월읍 부룡수길 50 1층,애월읍,12,4.75,33.4746076,126.3577962
158,봉성식당,한식,제주특별자치도 제주시 애월읍 봉성로 66 1층,애월읍,180,4.561111111,33.4186696,126.3126809
159,트라이브,한식,제주특별자치도 제주시 애월읍 애월로 11 제2동 1층,애월읍,198,4.712121212,33.4600513,126.3113009
160,하귀밀면,한식,제주특별자치도 제주시 애월읍 하광로 15 1층,애월읍,21,4.380952381,33.4621944,126.4227085
161,머구리,한식,제주특별자치도 제주시 애월읍 가문동길 63 1층,애월읍,16,4.0625,33.4875675,126.3912843
162,큰맘할매순대국제주곽지점,한식,제주특별자치도 제주시 애월읍 곽지1길 3 1층 2호,애월읍,26,4.0,33.4462688,126.3048414
163,다다의작은공간,한식,제주특별자치도 제주시 애월읍 광상로 528-1,애월읍,24,4.645833333,33.4414143,126.3779121
164,맛있는밥집,한식,제주특별자치도 제주시 애월읍 하광로 392 1층 1호,애월읍,3,3.333333333,33.4621944,126.4227085
165,회가서쪽에서뜨겠네,한식,제주특별자치도 제주시 애월읍 애월로 12 1층,애월읍,323,4.770897833,33.4654486,126.3206426
166,목수포차,기타,제주특별자치도 제주시 애월읍 고내북동길 51-22 1층,애월읍,25,4.8,33.4690303,126.3419283
167,허황후김치찜,한식,제주특별자치도 제주시 애월읍 해암이길 186 1층,애월읍,1,4.0,33.4202883,126.3328561
168,애월해송수산물회센타,횟집,제주특별자치도 제주시 애월읍 애월로11길 23 1층,애월읍,240,4.125,33.4663286,126.3205148
169,애월하와이,기타,제주특별자치도 제주시 애월읍 신엄안3길 99 1층,애월읍,4,4.5,33.4736903,126.3608227
170,하미,기타,제주특별자치도 제주시 애월읍 애월북서길 54 1층,애월읍,565,3.962831858,33.4662251,126.3107458
171,어음밥집,기타,제주특별자치도 제주시 애월읍 어림비로 393-1 1층,애월읍,6,4.666666667,33.4020841,126.3392178
172,모아나디쉬,기타,제주특별자치도 제주시 애월읍 일주서로 7087-12 1층,애월읍,587,4.648211244,33.4847224,126.4063706
173,애월후식,기타,제주특별자치도 제주시 애월읍 납읍로 21 1층,애월읍,72,4.743055556,33.4389732,126.3302631
174,스시아리엔,기타,제주특별자치도 제주시 애월읍 하귀동남3길 4 1층,애월읍,18,4.694444444,33.4849584,126.4155823
175,제주이와이,기타,제주특별자치도 제주시 애월읍 하귀로 4 1층,애월읍,23,4.869565217,33.4805276,126.4021784
176,우굼,기타,제주특별자치도 제주시 애월읍 하소로 611-42 1층,애월읍,102,4.348039216,33.4294575,126.3992538
177,황제중화요리,기타,제주특별자치도 제주시 애월읍 광령5길 6 1층,애월읍,10,3.9,33.460949,126.4358571
178,레이니데이,기타,제주특별자치도 제주시 애월읍 중산간서로 5384 1층,애월읍,4,5.0,33.4308629,126.3202436
179,곽지뽕끌락,한식,제주특별자치도 제주시 애월읍 일주서로 6001 1층,애월읍,5,4.4,33.466277,126.3511114
180,봉구식탁,경양식,제주특별자치도 제주시 애월읍 유수암평화길 14-3 1층,애월읍,66,4.795454545,33.4410845,126.4027191
181,통큰코다리하귀점,한식,제주특별자치도 제주시 애월읍 하귀9길 19 1층,애월읍,6,4.25,33.4826863,126.415916
182,명랑부대찌개,한식,제주특별자치도 제주시 애월읍 애월로11길 3 1층,애월읍,21,4.642857143,33.4646882,126.3202765
183,레그돌,경양식,제주특별자치도 제주시 애월읍 곽지9길 23 2층,애월읍,15,4.3,33.444932,126.326157
184,다운타우너제주애월,경양식,제주특별자치도 제주시 애월읍 애월로1길 24-9 1동 1~2층,애월읍,807,4.497521685,33.4632492,126.3097944
185,제주달,일식,제주특별자치도 제주시 애월읍 가문동길 27-8,애월읍,8,4.4375,33.4847109,126.3928445
186,조식,경양식,제주특별자치도 제주시 애월읍 어림비로 272 1층,애월읍,34,4.852941176,33.4108548,126.330805
187,보말이네,한식,제주특별자치도 제주시 애월읍 유수암평화5길 51 가동 1층,애월읍,116,4.75,33.424382,126.4051687
188,라이진,중국식,제주특별자치도 제주시 애월읍 하광로 463-1 1층,애월읍,27,4.962962963,33.4498906,126.4290876
189,빅,한식,제주특별자치도 제주시 애월읍 하귀로23길 1 1층,애월읍,1,5.0,33.4801321,126.4029022
190,혁이네식당,기타,제주특별자치도 제주시 애월읍 광령남3길 9 1층,애월읍,16,4.5625,33.4505474,126.4319823
191,상하이,기타,제주특별자치도 제주시 애월읍 유수암서길 22 1층,애월읍,13,4.230769231,33.429504,126.3944844
192,정가네,한식,제주특별자치도 서귀포시 안덕면 소기왓로 7,안덕면,3,4.5,33.235672,126.3676591
193,양자강,중국식,제주특별자치도 서귀포시 안덕면 화순중앙로54번길 10 2층,안덕면,26,4.346153846,33.2473678,126.3349284
194,어멍국수,한식,제주특별자치도 서귀포시 안덕면 화순로 101,안덕면,6,4.666666667,33.2465587,126.335771
195,서광우리집식당,한식,제주특별자치도 서귀포시 안덕면 녹차분재로59번길 8,안덕면,29,4.862068966,33.2905253,126.3006556
196,바당칼국수,한식,제주특별자치도 서귀포시 안덕면 형제해안로 22,안덕면,77,4.149350649,33.2279732,126.3042898
197,난드르깡통구이,한식,제주특별자치도 서귀포시 안덕면 대평감산로 14,안덕면,73,4.397260274,33.2361322,126.3670047
198,산드레,기타,제주특별자치도 서귀포시 안덕면 녹차분재로 193,안덕면,15,3.766666667,33.2923161,126.2996588
199,마린68,한식,제주특별자치도 서귀포시 안덕면 사계남로 197,안덕면,6,4.75,33.2308153,126.3083575
200,까사디노아,경양식,제주특별자치도 서귀포시 안덕면 대평로 42,안덕면,92,4.114130435,33.2374039,126.3631949
201,블루오션,기타,제주특별자치도 서귀포시 안덕면 사계남로 102 12층,안덕면,1,5.0,33.230173,126.3018116
202,페를로,경양식,제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33 1층,안덕면,382,4.506544503,33.2566272,126.3065103
203,빽가한우불고기,한식,제주특별자치도 서귀포시 안덕면 덕수회관로61번길 40 1층,안덕면,38,4.513157895,33.2527415,126.3096582
204,돈키호테,한식,제주특별자치도 서귀포시 안덕면 화순로 82 1층,안덕면,3,5.0,33.247413,126.3373621
205,산방산우리동네,한식,제주특별자치도 서귀포시 안덕면 산방로 289,안덕면,47,4.744680851,33.2386241,126.3146142
206,뼈해장순대해장돈풍년,한식,제주특별자치도 서귀포시 안덕면 사계남로21번길 13,안덕면,1,5.0,33.2299383,126.2944628
207,고할망네,한식,제주특별자치도 서귀포시 안덕면 사계남로 159-1,안덕면,39,4.692307692,33.2285158,126.3070598
208,광성식당,한식,제주특별자치도 서귀포시 안덕면 화순해안로106번길 12,안덕면,53,4.632075472,33.2379287,126.3366308
209,덕수아이흑돼지,한식,제주특별자치도 서귀포시 안덕면 덕수회관로 88,안덕면,32,4.65625,33.2546732,126.3078152
210,서광로타리,한식,제주특별자치도 서귀포시 안덕면 화순서서로 492-9,안덕면,29,4.327586207,33.2859356,126.3031716
211,쌍둥이기사식당,한식,제주특별자치도 서귀포시 안덕면 동광로 164,안덕면,3,4.166666667,33.3104382,126.3413657
212,호가,중국식,제주특별자치도 서귀포시 안덕면 화순중앙로 64,안덕면,27,4.5,33.2464921,126.335916
213,우와국수,한식,제주특별자치도 서귀포시 안덕면 한창로 146,안덕면,358,4.716480447,33.2903783,126.3538589
214,알동네집화순점,한식,제주특별자치도 서귀포시 안덕면 화순로 6 1층,안덕면,436,4.819954128,33.2459446,126.3313846
